@relation All_Centrality

@attribute Subgraph numeric
@attribute Degree numeric
@attribute Eigenvector numeric
@attribute Information numeric
@attribute LAC numeric
@attribute Betweenness numeric
@attribute Closeness numeric
@attribute Network numeric

@data
14000000000000000,174,0.161402,4.151689,4.241379,468112.88,0.022895,19.038797
12900000000000000,156,0.155054,4.140478,3.782051,364801.2,0.02288,14.983334
11300000000000000,168,0.145169,4.148168,2.5,421930.3,0.022888,11.977374
7950000000000000,164,0.121776,4.145664,2.597561,525497.44,0.022831,14.585173
7910000000000000,113,0.121466,4.099634,2.318584,211911.03,0.022845,8.051774
7430000000000000,129,0.117714,4.11796,3.395349,330805.3,0.0228,18.774994
7390000000000000,113,0.117431,4.099634,2.265487,214500.44,0.022861,6.405968
7120000000000000,127,0.115233,4.115893,2.755906,308235.78,0.022839,18.126188
7070000000000000,100,0.114827,4.080819,3.54,158452.27,0.022834,7.412758
6770000000000000,110,0.112344,4.095673,3.090909,240890.45,0.022792,7.858836
6500000000000000,111,0.110107,4.097072,5.189189,239978.52,0.022785,16.406244
6340000000000000,89,0.108724,4.060816,7.573034,110832.15,0.022798,18.720816
6100000000000000,126,0.106703,4.114706,3.539683,348054.28,0.022843,16.04811
5930000000000000,159,0.105163,4.142555,4.08805,532382.44,0.02284,21.226706
5840000000000000,109,0.104387,4.094286,2.899083,208868.44,0.022818,17.493118
5840000000000000,120,0.104351,4.108215,1.833333,287355.7,0.022847,6.861823
5710000000000000,86,0.103181,4.054495,11.953488,119730.99,0.022792,26.23955
5650000000000000,102,0.102655,4.083906,2.254902,181561.58,0.022844,5.617179
4830000000000000,95,0.094934,4.072236,2.547369,154578.52,0.022815,6.225382
4810000000000000,98,0.094708,4.077517,3.755102,221959.14,0.022836,12.543261
4740000000000000,68,0.09401,4.005776,8.352942,79859.14,0.022809,12.326407
4710000000000000,84,0.093706,4.049944,2.452381,125383.09,0.022794,5.396789
4580000000000000,96,0.09241,4.073985,4.375,170756.58,0.022776,11.026359
4560000000000000,79,0.092206,4.03795,3.063291,106347.51,0.022792,6.392156
4490000000000000,105,0.091469,4.088547,3.104762,199340.52,0.02282,10.358155
4160000000000000,91,0.088091,4.064802,2.769231,204270.47,0.022778,7.081137
4120000000000000,95,0.087645,4.072236,1.431579,230527.62,0.02284,3.481919
4000000000000000,86,0.08639,4.054495,2.883721,201580.34,0.022764,7.291072
3880000000000000,67,0.085124,4.002309,2.686567,71148.766,0.022727,4.224524
3860000000000000,79,0.084867,4.03795,1.620253,98235.42,0.022748,4.421875
3650000000000000,102,0.082523,4.083906,3.117647,284593.56,0.022768,15.772635
3460000000000000,75,0.080375,4.027249,2.346667,76520.38,0.022777,4.189533
3440000000000000,93,0.080094,4.068592,1.290323,190798.39,0.022806,3.863214
3320000000000000,124,0.078657,4.1126,4.758065,386093.25,0.022791,28.042927
3300000000000000,216,0.07849,4.170744,2.472222,1161080.9,0.022879,29.872606
3280000000000000,99,0.078271,4.079115,2.808081,245660.66,0.022816,10.485182
3280000000000000,89,0.078188,4.060816,1.325843,164393.44,0.022782,3.264326
3220000000000000,97,0.077539,4.07566,5.319588,294066.72,0.022839,18.636915
3190000000000000,63,0.07709,3.987719,2.063492,51601.094,0.022697,4.918389
3120000000000000,81,0.076319,4.042935,3.061729,230429.03,0.022727,7.959163
3090000000000000,94,0.075964,4.070474,1.255319,222975.44,0.022777,3.729783
2960000000000000,83,0.07425,4.047619,2.361446,161364.3,0.022746,6.982896
2940000000000000,120,0.07403,4.108215,2.716667,378200.7,0.022814,14.321556
2930000000000000,229,0.073922,4.175304,1.930131,1258946.4,0.02287,30.278006
2880000000000000,106,0.073294,4.089995,2.188679,238721.66,0.022734,8.610405
2850000000000000,84,0.072882,4.049944,1.690476,156953.45,0.022732,6.270644
2840000000000000,51,0.072793,3.931093,2.470588,36363.367,0.022673,3.317986
2730000000000000,76,0.07142,4.030013,3,185793.67,0.0228,8.436461
2650000000000000,56,0.070303,3.957417,4.107143,52274.406,0.022756,5.43204
2580000000000000,64,0.06936,3.99156,2.75,86894.05,0.022787,4.447523
2550000000000000,59,0.069031,3.971098,1.762712,90367.18,0.022683,3.098076
2440000000000000,71,0.067483,4.015415,3.605634,253017.56,0.022812,8.349615
2430000000000000,84,0.067258,4.049944,6.714286,167466.97,0.022776,20.902716
2420000000000000,60,0.067239,3.975493,1.733333,131363.53,0.022744,3.4606
2420000000000000,80,0.067198,4.040529,1.575,128920.625,0.022716,5.580673
2310000000000000,43,0.065639,3.877942,2.837209,25187.266,0.022673,3.749355
2290000000000000,66,0.065342,3.998817,2.787879,138083.73,0.022766,5.380455
2270000000000000,61,0.065049,3.979708,1.409836,90105.97,0.022771,2.312015
2260000000000000,52,0.064988,3.936726,3.961539,72589.766,0.022766,5.142704
2220000000000000,65,0.064418,3.995267,1.107692,133009.08,0.022791,2.322693
2170000000000000,67,0.063628,4.002309,1.970149,74511.31,0.022747,3.59196
2150000000000000,50,0.06338,3.92526,1.96,74039.96,0.0227,3.004399
2130000000000000,63,0.063105,3.987719,4,89810.805,0.022733,8.569055
2050000000000000,53,0.061782,3.942209,1.283019,70437.35,0.022698,4.380985
1920000000000000,70,0.059838,4.01227,2.085714,131145.4,0.022751,6.134378
1910000000000000,50,0.059678,3.92526,1.88,32687.867,0.022716,2.358404
1910000000000000,45,0.059634,3.892867,1.955556,34296.918,0.022701,2.309173
1880000000000000,64,0.059243,3.99156,1.3125,100620.21,0.022761,3.846155
1840000000000000,48,0.058581,3.913122,1.375,50199.47,0.022732,1.800606
1830000000000000,40,0.058494,3.853046,2.05,43225.586,0.022677,3.400799
1820000000000000,44,0.058195,3.885575,3.954546,16915.566,0.022678,6.516043
1740000000000000,67,0.056938,4.002309,2.328358,143069.52,0.022727,4.294077
1690000000000000,52,0.056101,3.936726,6.884615,55953.69,0.022731,11.180989
1680000000000000,44,0.056049,3.885575,3.909091,79178.47,0.022767,4.48159
1620000000000000,43,0.055008,3.877942,4.093023,22229.754,0.022699,5.424703
1600000000000000,49,0.054653,3.919299,1.265306,46019.637,0.022732,1.457287
1590000000000000,49,0.054381,3.919299,0.816327,47592.047,0.022731,1.369911
1510000000000000,42,0.053054,3.869862,1.428572,31740.85,0.022677,2.336282
1500000000000000,41,0.052825,3.861771,3.073171,37730.676,0.02267,3.840373
1480000000000000,51,0.052455,3.931093,4.078432,68011.15,0.022726,9.23121
1470000000000000,57,0.052403,3.962234,1.263158,77812.82,0.022683,2.557389
1460000000000000,48,0.05221,3.913122,1.875,38685.176,0.022709,2.815373
1450000000000000,55,0.052015,3.95249,1.127273,84811.69,0.022767,1.936318
1400000000000000,34,0.051141,3.792073,2.352941,34482.035,0.022699,2.732042
1400000000000000,59,0.05105,3.971098,2.813559,96077.96,0.022728,6.174324
1390000000000000,56,0.050948,3.957417,3.035714,107386.3,0.022766,7.119703
1380000000000000,37,0.05073,3.824644,0.864865,18432.852,0.022677,0.965038
1350000000000000,39,0.050245,3.844012,0.564103,43303.367,0.022714,0.671747
1350000000000000,44,0.050155,3.885575,4.090909,67642.28,0.022752,4.859096
1350000000000000,71,0.050136,4.015415,1.859155,165277.8,0.022757,6.775835
1330000000000000,57,0.049795,3.962234,1.403509,119694.805,0.022757,3.846167
1330000000000000,36,0.049733,3.814292,1.666667,53817.89,0.022727,2.008759
1320000000000000,45,0.049701,3.892867,0.622222,50582.676,0.022709,0.770395
1320000000000000,41,0.049656,3.861771,2.487805,21008.63,0.0227,3.571577
1310000000000000,55,0.04951,3.95249,2.218182,86809.664,0.022701,3.766461
1310000000000000,54,0.049395,3.947442,4.222222,64477.207,0.022745,6.857254
1300000000000000,40,0.049158,3.853046,2.95,31287.172,0.022657,7.110362
1280000000000000,31,0.048854,3.753913,0.258064,15653.022,0.022644,0.266667
1280000000000000,39,0.04881,3.844012,0.717949,67271.41,0.022675,1.575035
1270000000000000,42,0.048672,3.869862,7.952381,9162.269,0.022635,12.416358
1260000000000000,28,0.048465,3.708874,1,27114.28,0.022643,2.538889
1250000000000000,35,0.048355,3.80336,2.628572,21000.66,0.022675,3.565858
1230000000000000,25,0.047959,3.655076,2.88,8523.976,0.022635,3.196429
1230000000000000,46,0.047931,3.899822,1.217391,59299.36,0.02269,1.554853
1210000000000000,34,0.0476,3.792073,2.117647,38920.31,0.022717,2.94172
1160000000000000,49,0.046599,3.919299,0.897959,71076.38,0.022724,1.614038
1160000000000000,32,0.046541,3.767338,2.625,22164.223,0.022683,2.753124
1140000000000000,44,0.046123,3.885575,0.909091,27136.812,0.02272,1.239365
1130000000000000,57,0.045975,3.962234,1.719298,88605.33,0.022742,2.818882
