Subgraph,Degree,Eigenvector,Information,LAC,Betweenness,Closeness,Network
1.40E+16,174,0.16140151,4.1516886,4.2413793,468112.88,0.022894757,19.038797
1.29E+16,156,0.15505368,4.140478,3.7820513,364801.2,0.022879634,14.983334
1.13E+16,168,0.14516915,4.1481676,2.5,421930.3,0.022887861,11.977374
7.95E+15,164,0.12177566,4.145664,2.597561,525497.44,0.0228306,14.585173
7.91E+15,113,0.121465564,4.099634,2.318584,211911.03,0.02284535,8.051774
7.43E+15,129,0.11771403,4.11796,3.3953488,330805.3,0.022800442,18.774994
7.39E+15,113,0.11743134,4.099634,2.2654867,214500.44,0.022860631,6.4059677
7.12E+15,127,0.11523273,4.1158934,2.7559056,308235.78,0.022839407,18.126188
7.07E+15,100,0.114827424,4.080819,3.54,158452.27,0.022834389,7.412758
6.77E+15,110,0.11234368,4.0956726,3.090909,240890.45,0.022791665,7.8588357
6.50E+15,111,0.110107176,4.097072,5.189189,239978.52,0.022785138,16.406244
6.34E+15,89,0.10872432,4.060816,7.573034,110832.15,0.022798095,18.720816
6.10E+15,126,0.10670336,4.1147065,3.5396826,348054.28,0.022843095,16.04811
5.93E+15,159,0.105163075,4.1425548,4.0880504,532382.44,0.022840431,21.226706
5.84E+15,109,0.10438747,4.0942864,2.8990827,208868.44,0.022817506,17.493118
5.84E+15,120,0.10435149,4.108215,1.8333334,287355.7,0.022846784,6.861823
5.71E+15,86,0.10318133,4.054495,11.953488,119730.99,0.022792073,26.23955
5.65E+15,102,0.102654964,4.0839057,2.254902,181561.58,0.022844324,5.6171794
4.83E+15,95,0.09493435,4.072236,2.5473685,154578.52,0.022814643,6.2253823
4.81E+15,98,0.09470819,4.077517,3.7551022,221959.14,0.022836128,12.543261
4.74E+15,68,0.09400984,4.0057755,8.3529415,79859.14,0.022809021,12.326407
4.71E+15,84,0.09370614,4.049944,2.452381,125383.09,0.022794012,5.396789
4.58E+15,96,0.09241043,4.073985,4.375,170756.58,0.022775762,11.026359
4.56E+15,79,0.09220625,4.0379505,3.063291,106347.51,0.022792175,6.3921556
4.49E+15,105,0.091469325,4.088547,3.1047618,199340.52,0.022819959,10.358155
4.16E+15,91,0.08809134,4.064802,2.7692308,204270.47,0.022778412,7.0811367
4.12E+15,95,0.08764518,4.072236,1.431579,230527.62,0.022840021,3.4819193
4.00E+15,86,0.0863901,4.054495,2.8837209,201580.34,0.022764156,7.291072
3.88E+15,67,0.08512354,4.0023093,2.686567,71148.766,0.022727273,4.2245235
3.86E+15,79,0.084866874,4.0379505,1.6202532,98235.42,0.022747781,4.421875
