Level1,IC,LAC,Nor(IC),Nor(LAC),Nor(IC)*Nor(LAC)
YHR140W,3.975493,14.733334,0.463232195,0.931915007,0.431693035
YPL076W,3.983797,14.419354,0.466167938,0.910604149,0.424494458
YDR394W,4.054495,11.953488,0.491162055,0.743237686,0.365050149
YMR215W,3.885575,12.954545,0.431443163,0.811182728,0.349979242
YJL196C,3.7539134,12.709678,0.384896366,0.794562796,0.305824333
YJL117W,3.8998218,11.217391,0.436479885,0.693276353,0.302601183
YDL097C,3.767338,12.3125,0.389642412,0.767605015,0.29909147
YGR060W,3.9310927,10.745098,0.447535198,0.661220269,0.295919344
YGR232W,3.674065,12.461538,0.356667275,0.777720716,0.277387528
YDR297W,3.6919663,12.222222,0.362995985,0.761477549,0.276413293
YHR200W,3.824644,10.810811,0.409902008,0.665680427,0.272863744
YFR052W,3.7248504,11.724138,0.374621619,0.727670944,0.272601267
YBR110W,3.7799404,11.090909,0.394097784,0.684691602,0.269835443
YFR004W,3.7248504,11.24138,0.374621619,0.694904566,0.260326273
YPR108W,3.674065,11.692307,0.356667275,0.725510469,0.258765842
YLR372W,4.035391,8.769231,0.48440815,0.527111655,0.255337181
YDR331W,3.9667227,9.068966,0.4601316,0.547455658,0.251901648
YKR081C,3.92526,9.32,0.445473143,0.564494164,0.251466989
YPL264C,3.8142917,9.833333,0.406242122,0.599335769,0.243475435
YDL147W,3.9131224,9.041667,0.441182094,0.545602785,0.240710179
YMR205C,4.0057755,8.3529415,0.473938076,0.498856713,0.236427191
YBR183W,3.7920728,9.705882,0.398386995,0.590685249,0.235321321
YBR036C,3.8530462,9.25,0.419943139,0.559743033,0.235060247
YHR027C,3.8698623,8.952381,0.425888195,0.53954265,0.229784845
YKL065C,3.92526,8.48,0.445473143,0.507480592,0.226068974
YER012W,3.885575,8.636364,0.431443163,0.518093533,0.223527912
YML048W,3.975493,8.066667,0.463232195,0.479426317,0.222085706
YDL029W,4.060816,7.573034,0.493396741,0.445921817,0.220016371
YBR290W,3.8142917,8.388889,0.406242122,0.501296588,0.20364779
YOR261C,3.7248504,8.965517,0.374621619,0.540434233,0.202458347
YNL061W,3.9797077,7.377049,0.464722233,0.432619668,0.201047978
YGL004C,3.8698623,7.952381,0.425888195,0.47166935,0.200878408
YCR034W,3.9915602,7.3125,0.46891249,0.428238514,0.200806388
YEL063C,3.9131224,7.5416665,0.441182094,0.443792801,0.195793437
YGR103W,3.885575,7.681818,0.431443163,0.453305346,0.195575492
YBR159W,4.0823956,6.6732674,0.501025854,0.384851688,0.192820646
YJR010C-A,3.8530462,7.6,0.419943139,0.447752088,0.188030418
YGL200C,3.8928666,7.3777776,0.434020988,0.432669121,0.187787479
YER021W,3.5367074,9.8,0.30810675,0.597073348,0.183962329
