Protein,Priority Fun_GO
YLR044C,0.273148148
YOR212W,0.273148148
YOR181W,0.273148148
YMR049C,0.273148148
YGR262C,0.273148148
YMR059W,0.273148148
YER173W,0.273148148
YGL190C,0.273148148
YDR171W,0.273148148
YPL140C,0.273148148
YJL034W,0.273148148
YGR254W,0.273148148
YER179W,0.273148148
YPL240C,0.273148148
YDR142C,0.273148148
YLR291C,0.273148148
YJL130C,0.273148148
YDR523C,0.273148148
YGL206C,0.273148148
YJR077C,0.273148148
YOR351C,0.273148148
YCR002C,0.273148148
YDL043C,0.273148148
YGL048C,0.273148148
YGR240C,0.273148148
YML064C,0.185185185
YBR127C,0.185185185
YPR110C,0.185185185
YBR072W,0.185185185
YJR121W,0.185185185
YBR020W,0.185185185
YMR106C,0.185185185
YDR062W,0.143518519
YDR277C,0.143518519
YOR014W,0.143518519
YER112W,0.143518519
YLR058C,0.143518519
YNL236W,0.143518519
YNL032W,0.143518519
YNL138W,0.143518519
YDR225W,0.143518519
YGL035C,0.143518519
YBR208C,0.143518519
YMR139W,0.143518519
YML123C,0.143518519
YGL195W,0.143518519
YLR337C,0.143518519
YBR069C,0.143518519
YFL034C-B,0.143518519
YLR453C,0.143518519
YOR231W,0.143518519
YLR016C,0.143518519
YOL113W,0.143518519
YDL014W,0.143518519
YFR016C,0.143518519
YML032C,0.143518519
YBL036C,0.143518519
YDR170C,0.143518519
YHR165C,0.143518519
YGR136W,0.143518519
YNL088W,0.143518519
YER022W,0.143518519
YCR092C,0.143518519
YNL110C,0.143518519
YDL193W,0.143518519
YLR147C,0.143518519
YER117W,0.143518519
YBR169C,0.143518519
YBR059C,0.143518519
YLR262C,0.143518519
YNL312W,0.143518519
YNL323W,0.143518519
YEL015W,0.143518519
YDR097C,0.143518519
YPL042C,0.143518519
YCR093W,0.143518519
YLR429W,0.143518519
YPR119W,0.143518519
YGL181W,0.143518519
YGR184C,0.143518519
YHR014W,0.143518519
YPR010C,0.143518519
YPR093C,0.143518519
YBR098W,0.143518519
YMR319C,0.143518519
YHR066W,0.143518519
YMR093W,0.143518519
YMR036C,0.143518519
YDL116W,0.143518519
YNL007C,0.143518519
YGR067C,0.143518519
YER114C,0.143518519
YOL041C,0.143518519
YBR264C,0.143518519
YGL019W,0.143518519
YBR272C,0.143518519
YMR201C,0.143518519
YNL243W,0.143518519
YJL153C,0.143518519
YPR171W,0.143518519
YDR453C,0.143518519
YLR006C,0.143518519
YER155C,0.143518519
YDL042C,0.143518519
YOL108C,0.143518519
YMR104C,0.143518519
YCL031C,0.143518519
YDR192C,0.143518519
YKL068W,0.143518519
YPL004C,0.143518519
YJR066W,0.143518519
YHR102W,0.143518519
YDR342C,0.143518519
YJL090C,0.143518519
YCL043C,0.143518519
YDR339C,0.143518519
YGL049C,0.143518519
YGR258C,0.143518519
YAL040C,0.143518519
YGR119C,0.143518519
YAL016W,0.143518519
YER167W,0.143518519
YLR433C,0.143518519
YOR332W,0.143518519
YLR421C,0.143518519
YIL033C,0.143518519
YHR070W,0.143518519
YLR019W,0.143518519
YPR182W,0.143518519
YDR266C,0.143518519
YKL056C,0.143518519
YPL111W,0.143518519
YGR188C,0.143518519
YHR119W,0.143518519
YDR381W,0.143518519
YOR269W,0.143518519
YNL014W,0.143518519
YBR108W,0.143518519
YFR010W,0.143518519
YGL016W,0.143518519
YIR003W,0.143518519
YER020W,0.143518519
YMR058W,0.143518519
YPR015C,0.143518519
YER032W,0.143518519
YBR175W,0.143518519
YMR094W,0.143518519
YER146W,0.143518519
YLR403W,0.143518519
YIL125W,0.143518519
YGL120C,0.143518519
YKL080W,0.143518519
YPR018W,0.143518519
YJL124C,0.143518519
YGL111W,0.143518519
YER023W,0.143518519
YDL140C,0.143518519
YOR039W,0.143518519
YAR003W,0.143518519
YNL084C,0.143518519
YIL053W,0.143518519
YDR224C,0.143518519
YPL256C,0.143518519
YOL123W,0.143518519
YDL239C,0.143518519
YIL070C,0.143518519
YAL017W,0.143518519
YGL201C,0.143518519
YMR303C,0.143518519
YOR362C,0.143518519
YDL117W,0.143518519
YPR086W,0.143518519
YGL131C,0.143518519
YIL144W,0.143518519
YDR219C,0.143518519
YAL041W,0.143518519
YER041W,0.143518519
YBR142W,0.143518519
YNL118C,0.143518519
YDR060W,0.143518519
YMR199W,0.143518519
YJL081C,0.143518519
YOR020C,0.143518519
YDL175C,0.143518519
YGR268C,0.143518519
YDL156W,0.143518519
YIL156W,0.143518519
YMR167W,0.143518519
YDR507C,0.143518519
YOL082W,0.143518519
YER054C,0.143518519
YPL012W,0.143518519
YER148W,0.143518519
YGL060W,0.143518519
YPL124W,0.143518519
YBR203W,0.143518519
YIL021W,0.143518519
YHR099W,0.143518519
YLR268W,0.143518519
YMR240C,0.143518519
YMR159C,0.143518519
YFR031C,0.143518519
YDR496C,0.143518519
YER142C,0.143518519
YPL126W,0.143518519
YFL008W,0.143518519
YER129W,0.143518519
YOR116C,0.143518519
YHR112C,0.143518519
YOR326W,0.143518519
YJL117W,0.143518519
YCL059C,0.143518519
YMR125W,0.143518519
YJR104C,0.143518519
YDR034C,0.143518519
YLR134W,0.143518519
YHR170W,0.143518519
YPR088C,0.143518519
YLR078C,0.143518519
YDL138W,0.143518519
YBL002W,0.143518519
YNL287W,0.143518519
YLR258W,0.143518519
YNL180C,0.143518519
YPL026C,0.143518519
YDR211W,0.143518519
YLR352W,0.143518519
YAL029C,0.143518519
YNL308C,0.143518519
YNL116W,0.143518519
YGR234W,0.143518519
YLR306W,0.143518519
YKL067W,0.143518519
YLR247C,0.143518519
YOL045W,0.143518519
YDR343C,0.143518519
YFR015C,0.143518519
YAR002W,0.143518519
YLR362W,0.143518519
YBL105C,0.143518519
YGL197W,0.143518519
YJL203W,0.143518519
YBL016W,0.143518519
YDL052C,0.143518519
YDR316W,0.143518519
YCR076C,0.143518519
YER126C,0.143518519
YPR181C,0.143518519
YPL078C,0.143518519
YKL048C,0.143518519
YOR317W,0.143518519
YNL229C,0.143518519
YJL074C,0.143518519
YLR113W,0.143518519
YNR053C,0.143518519
YKL011C,0.143518519
YBR218C,0.143518519
YDR510W,0.143518519
