P03875,Q0050
P00856,Q0080
P00854,Q0085
P61829,Q0130
P00410,Q0250
P00420,Q0275
P03871,R0020C
Q06891,R0030W
P34111,YAL001C
P39702,YAL002W
P32471,YAL003W
P39703,YAL004W
P10591,YAL005C
P39704,YAL007C
P18410,YAL009W
P18409,YAL010C
P31376,YAL011W
P31373,YAL012W
P31385,YAL013W
P31377,YAL014C
P31378,YAL015C
P31383,YAL016W
P31374,YAL017W
P31379,YAL018C
P31380,YAL019W
P31384,YAL021C
P31381,YAL022C
P31382,YAL023C
P07866,YAL024C
P10962,YAL025C
P39524,YAL026C
P39735,YAL027W
P39734,YAL028W
P32492,YAL029C
P31109,YAL030W
P39732,YAL031C
P28004,YAL032C
P28005,YAL033W
P28003,YAL034C
P39731,YAL034W-A
P39730,YAL035W
P39729,YAL036C
P00549,YAL038W
P13365,YAL040C
P11433,YAL041W
P39727,YAL042W
Q01329,YAL043C
P39725,YAL045C
P39723,YAL047C
P39722,YAL048C
P39721,YAL049C
P39720,YAL051W
P39719,YAL053W
Q01574,YAL054C
P39718,YAL055W
P39717,YAL056W
P27825,YAL058W
P39715,YAL059W
P39714,YAL060W
P39713,YAL061W
P39708,YAL062W
Q3E791,YAL063C-A
P39711,YAL064W
O13512,YAL064W-B
P39710,YAL066W
P39709,YAL067C
O13588,YAL069W
Q05359,YAR002C-A
P39705,YAR002W
P39706,YAR003W
P22336,YAR007C
P39707,YAR008W
P27637,YAR014C
P22209,YAR018C
P27636,YAR019C
D6VPM8,YAR023C
P39547,YAR027W
P39548,YAR028W
P39550,YAR030C
P39551,YAR031W
P39552,YAR033W
P80235,YAR035W
P35845,YAR042W
P39557,YAR047C
P39563,YAR064W
P0CX18,YAR066W
P39564,YAR068W
P0CX92,YAR069C
P35842,YAR071W
P39567,YAR073W
P35195,YBL001C
P02294,YBL002W
P04912,YBL003C
P35194,YBL004W
P33200,YBL005W
Q12490,YBL005W-B
P38210,YBL006C
P32790,YBL007C
P32479,YBL008W
P32789,YBL009W
P32788,YBL010C
P32785,YBL013W
P32786,YBL014C
P32316,YBL015W
P16892,YBL016W
P32319,YBL017C
P38208,YBL018C
P38207,YBL019W
P38206,YBL020W
P13434,YBL021C
P36775,YBL022C
P29469,YBL023C
P38205,YBL024W
P38204,YBL025W
P38203,YBL026W
P0CX83,YBL027W
P38201,YBL029W
P18239,YBL030C
P38200,YBL031W
P38199,YBL032W
P38066,YBL033C
P38198,YBL034C
P38121,YBL035C
P38197,YBL036C
P38065,YBL037W
P38064,YBL038W
P28274,YBL039C
P18414,YBL040C
P23724,YBL041W
P38196,YBL042C
P38195,YBL043W
P38194,YBL044W
P07256,YBL045C
P38193,YBL046W
P34216,YBL047C
P38191,YBL049W
P32602,YBL050W
P34217,YBL051C
P34218,YBL052C
P38190,YBL053W
P34219,YBL054W
P34221,YBL056W
P34223,YBL058W
P34224,YBL059W
P34226,YBL061C
P28742,YBL063W
P34227,YBL064C
P38188,YBL065W
P34228,YBL066C
P38187,YBL067C
P38063,YBL068W
P38185,YBL071C
P0CX39,YBL072C
P32357,YBL074C
P09435,YBL075C
P09436,YBL076C
P38182,YBL078C
P38181,YBL079W
P33893,YBL080C
P38180,YBL081W
P38179,YBL082C
P38042,YBL084C
P38041,YBL085W
P38177,YBL086C
P38110,YBL088C
P38176,YBL089W
P38175,YBL090W
P38174,YBL091C
P38061,YBL092W
P25046,YBL093C
P38173,YBL094C
P38172,YBL095W
P38170,YBL097W
P38169,YBL098W
P07251,YBL099W
P38168,YBL100C
Q12260,YBL100W-A
P38167,YBL101C
P38166,YBL102W
P38165,YBL103C
P38164,YBL104C
P24583,YBL105C
P38163,YBL106C
P38162,YBL107C
P38161,YBL108W
Q3E7Y4,YBL112C
Q7M4S9,YBL113C
P35172,YBR001C
P18900,YBR003W
P38211,YBR004C
P38067,YBR006W
P38213,YBR007C
P38124,YBR008C
P61830,YBR010W; YNL031C
P00817,YBR011C
P38214,YBR012C
Q12193,YBR012W-B
P38215,YBR013C
P38068,YBR014C
P38069,YBR015C
P38217,YBR017C
P08431,YBR018C
P04397,YBR019C
P04385,YBR020W
P05316,YBR021W
P29465,YBR023C
P38072,YBR024W
P38219,YBR025C
P38220,YBR027C
P38070,YBR028C
P38221,YBR029C
P38073,YBR033W
P38074,YBR034C
P38075,YBR035C
P35206,YBR036C
P23833,YBR037C
P14180,YBR038W
P38077,YBR039W
P38224,YBR040W
P38225,YBR041W
P38226,YBR042C
P38227,YBR043C
