protein,degree,betweenness,closeness,eigenvector,clustering,OS,P_Ci,GO_Nb,essential,phys_1,phys_2,phys_3,phys_4,phys_5,phys_6,phys_7,phys_8,phys_9,phys_10,N_c,Sim_Loc,Ortho_Sim_Loc
Q0050,1,0.0,0.22516313705228083,0.0002557579397107414,0.0,1.0,0.0,0.0,0,0.09233,-0.33381,30.80936,9.88751,63.0,129.0,103735.0,0.0,1.0797,0.0001,0.0,0.0,0.5
YER142C,22,0.0004288668976332641,0.29126439516843117,0.010408235267993168,0.021645021645021644,18.413828689370487,1.0,7.0,0,0.10811,-0.41014,39.00608,8.10834,48.0,50.0,36370.0,0.0,1.05935,0.00024,0.0,0.0,0.5
Q0080,2,0.0,0.2674743821101512,0.0053474277283073685,1.0,0.0,0.0,0.0,0,0.20833,1.2375,53.60021,9.992,0.0,3.0,4470.0,0.0,0.76775,0.00172,0.0,0.0,0.0
YBL099W,109,0.008718909162953573,0.3491762579752842,0.1038039320014101,0.026843357118586476,96.97771023302938,0.0,195.34141064473883,0,0.05688,-0.08385,34.42572,9.06122,58.0,64.0,31985.0,0.0,0.54575,0.00015,0.0,0.0,0.5
YJR121W,127,0.010325166028000987,0.3544626901795085,0.11469772869801868,0.021872265966754154,119.12474849094568,0.0,248.8071428571429,0,0.05871,-0.018,31.91098,5.51776,63.0,54.0,22015.0,0.0,0.40178,0.0001,0.0,0.0,0.5
Q0085,7,2.271493051069466e-08,0.26807544813736506,0.006247355219905878,0.7619047619047619,2.457953394123607,0.0,15.335714285714284,0,0.14672,1.0973,29.5749,7.85052,8.0,9.0,44015.0,0.0,1.51261,0.00027,0.0,0.0,0.5
YDR298C,5,3.3886236303986827e-06,0.28141598099794163,0.0075960092709896135,0.8,3.0,0.0,10.333333333333334,0,0.05189,-0.09387,24.26745,9.58185,21.0,30.0,4595.0,0.0,0.20141,0.00042,0.0,0.0,0.5
YDR377W,6,1.1160514990803736e-08,0.2680611056491013,0.006066617629696564,0.8666666666666667,2.0,0.0,16.166666666666664,0,0.12871,-0.29307,42.91792,10.10236,5.0,15.0,14440.0,0.0,1.27652,0.00089,0.0,0.0,0.5
YKL016C,7,7.872411453494578e-06,0.2814475972187031,0.007882118300325435,0.7142857142857143,3.0,0.0,20.33333333333333,0,0.06322,-0.64023,52.74253,8.92291,26.0,29.0,16960.0,0.0,0.85616,0.00045,0.0,0.0,0.5
YML081C-A,6,1.1992373275871762e-06,0.27014234785611435,0.006000218864281488,0.8,2.0,0.0,12.45,0,0.16949,-0.17458,19.27966,9.69623,5.0,9.0,9970.0,0.0,1.4908,0.00145,0.0,0.0,0.5
YPL078C,9,0.00010197972105784468,0.28917985257343604,0.009395691409726016,0.3055555555555556,6.301411290322581,0.0,14.35,0,0.05738,-0.12705,48.44467,9.15887,27.0,32.0,14565.0,0.0,0.54095,0.00034,0.0,0.0,0.5
Q0130,2,0.0,0.2674743821101512,0.0053474277283073685,1.0,0.0,0.0,0.0,0,0.09211,1.44605,13.06579,7.93402,2.0,3.0,1615.0,0.0,0.20814,0.00102,0.0,0.0,0.0
Q0250,3,1.8582124903166097e-05,0.2103766428320185,2.5073676940423355e-05,0.3333333333333333,0.0,0.0,0.0,0,0.12351,0.35339,37.19291,4.44708,30.0,13.0,48860.0,0.0,1.71037,0.00016,0.0,0.0,0.0
YBR024W,4,0.0002435159510028928,0.24991670618951284,0.0005168871678820468,0.16666666666666666,1.9233716475095786,0.0,0.0,1,0.13289,-0.58339,50.62465,8.33759,41.0,44.0,42705.0,0.0,1.22406,0.00024,0.13471888792096168,0.0,0.5
YBR037C,3,5.3830932650941585e-06,0.20957586170106465,3.272527707373704e-05,0.3333333333333333,1.0,0.0,0.0,0,0.12203,-0.35729,29.37495,9.1452,32.0,40.0,36370.0,0.0,1.09662,0.00028,0.0,0.0,0.5
YER154W,6,0.0003745058248364159,0.24866395978397704,0.0004080031479151294,0.0,2.949052132701422,0.0,0.0,0,0.08458,-0.1199,40.33607,10.13007,24.0,44.0,54555.0,0.0,1.21733,0.00023,0.0,0.0,0.5
Q0275,1,0.0,0.19883051413497968,1.0285454796793766e-05,0.0,0.0,0.0,0.0,0,0.1487,0.69033,32.18818,6.54657,12.0,9.0,72100.0,0.0,2.37489,0.00022,0.0,0.0,0.0
R0020C,3,2.043670866621077e-07,0.2591326674780115,0.004212185664456369,0.0,2.9780346820809247,0.5,0.0,0,0.10724,-0.4622,40.03941,5.99152,54.0,47.0,54735.0,0.0,1.26612,0.00014,0.0,0.0,0.5
YBL056W,26,0.0004799372270349601,0.3088221231316169,0.025977626235983025,0.06461538461538462,24.7997997997998,0.5,32.2,0,0.05769,-0.40363,39.7434,4.47711,84.0,41.0,25700.0,0.0,0.50067,9e-05,0.0,0.0,0.5
YBR217W,91,0.0043481324285498954,0.3400984337284383,0.08762243805703548,0.03076923076923077,82.1144578313253,0.0,208.275,0,0.06452,-0.61882,65.34624,6.31891,22.0,21.0,11835.0,0.0,0.56075,0.0003,0.0,0.0,0.5
YDR523C,45,0.0009508405486065721,0.3233722812499905,0.05924010820156616,0.044444444444444446,40.29061553985873,0.5,105.35714285714285,0,0.08367,-0.39102,45.04816,7.55011,64.0,65.0,49820.0,0.0,0.89438,0.00014,0.0,0.0,0.5
R0030W,2,0.0,0.24222045567741612,0.0014694466219757217,1.0,0.0,0.0,2.321428571428571,0,0.09392,-0.16022,57.23873,5.90436,24.0,23.0,16680.0,0.0,0.78349,0.00028,0.0,0.0,0.0
YOR101W,6,0.0002578221331694889,0.25590327012040215,0.002158567045382804,0.13333333333333333,1.8678571428571429,0.0,4.285714285714287,0,0.0712,-0.82686,34.56249,5.24579,42.0,37.0,24215.0,0.0,0.70503,0.00015,0.0,0.0,0.5
YOR351C,40,0.0009929080788155422,0.31858142847888044,0.05813039893158103,0.052564102564102565,36.694556451612904,0.0,121.91666666666666,0,0.08249,-0.29759,39.67449,8.07672,62.0,65.0,60080.0,0.0,1.05684,0.00014,0.0,0.0,0.5
YAL001C,1,0.0,0.19876741086552754,1.3708163384586591e-05,0.0,1.0,0.5,0.0,1,0.07931,-0.51155,31.93959,9.37933,152.0,189.0,135525.0,0.0,1.02588,7e-05,0.13471888792096168,0.10612484556922272,0.5530624227846114
YBR123C,8,0.0006932599554125404,0.2485652689233196,0.0005435085098735443,0.07142857142857142,7.173198482932996,1.0,0.0,1,0.08783,-0.54607,39.94485,5.23065,105.0,86.0,59165.0,0.0,0.80439,7e-05,0.13471888792096168,0.1187244606175494,0.5082755594244345
YAL002W,8,0.00012943856816259865,0.2831014874950476,0.009089535525178629,0.32142857142857145,5.1014332965821385,0.0,2.0041666666666664,0,0.09655,-0.09035,42.48871,5.57721,149.0,120.0,154750.0,0.0,1.06753,4e-05,0.0,0.0,0.5
YCL018W,156,0.01509685650855824,0.36457324642999,0.15432690272018176,0.024400330851943756,148.90798786653184,0.0,391.4709620444914,0,0.04945,-0.03516,32.70549,5.51874,46.0,39.0,28210.0,0.0,0.72422,0.00014,0.0,0.0,0.5
YDR171W,61,0.003164612635468035,0.3385358193031995,0.06491530012916819,0.023497267759562842,59.30171543895055,0.0,60.458383446618754,0,0.088,-1.12667,57.55576,4.98615,66.0,43.0,35885.0,0.0,0.83811,0.00012,0.0,0.0,0.5
YGL206C,64,0.0038886470309330407,0.33621863680629127,0.05905989651192037,0.020833333333333332,59.960804020100504,0.0,55.13013375513376,0,0.09135,-0.16679,40.42354,5.11371,227.0,170.0,183050.0,0.0,0.97766,3e-05,0.0,0.0,0.5
YKR026C,83,0.004406383355375181,0.3329786751968733,0.07378797249412564,0.02879811930649427,74.02713567839196,0.0,168.26666666666668,0,0.08197,0.02754,41.2797,5.19025,41.0,31.0,24785.0,0.0,0.72844,0.00015,0.0,0.0,0.5
YLR148W,19,0.0008784452638771552,0.29745488753783855,0.0168805053026202,0.08187134502923976,10.58091286307054,0.0,11.5015873015873,0,0.09586,-0.25436,29.9244,6.50787,118.0,113.0,141760.0,0.0,1.31996,6e-05,0.0,0.0,0.5
YLR396C,7,3.783735879189841e-05,0.23929363481169896,0.001012792029483461,0.47619047619047616,2.289719626168224,0.0,5.916666666666666,0,0.08538,-0.30304,42.23213,5.13287,94.0,69.0,77655.0,0.0,0.97962,6e-05,0.0,0.0,0.5
YMR231W,7,7.940354946196485e-06,0.23922508239530904,0.0008595348700568797,0.6190476190476191,2.0,0.0,2.0041666666666664,0,0.09135,-0.20875,37.81499,5.5694,141.0,118.0,68950.0,0.0,0.58693,5e-05,0.0,0.0,0.5
YPL045W,7,2.1920608149972692e-05,0.23493998526152832,0.0008063131557929017,0.5238095238095238,2.0,0.0,2.0041666666666664,1,0.10902,-0.2589,36.65405,6.6767,106.0,104.0,121975.0,0.0,1.31523,7e-05,0.13471888792096168,0.0,0.5
YAL003W,3,0.0,0.2761577537169902,0.005940717261366067,1.0,2.9385113268608416,0.0,8.5,1,0.07767,-0.4165,42.12621,4.29535,44.0,20.0,21095.0,0.0,0.9323,0.00019,0.13471888792096168,0.0,0.5
YBR118W,105,0.006072697972490151,0.34976126531848883,0.09119823927821147,0.029853479853479855,100.80855397148676,0.0,1018.3333333333331,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
YKL081W,29,0.0004224620749240211,0.3121117626417089,0.030086245003910096,0.05665024630541872,27.615853658536587,0.0,76.33333333333333,0,0.11893,-0.39563,35.82551,7.62738,55.0,56.0,84590.0,0.0,1.81838,0.00016,0.0,0.0,0.5
YML064C,164,0.021216656275012444,0.35231911438628455,0.1214512731796698,0.015935956905581326,156.04939516129033,0.0,405.59126984127,1,0.07347,-0.17837,40.88857,9.40448,20.0,27.0,19035.0,0.0,0.69735,0.00034,0.8652811120790382,0.0,0.5
YAL004W,2,7.159715893319563e-08,0.2496800780229906,0.0006999773852315349,0.0,1.4263233190271818,0.0,0.0,0,0.07907,-0.01814,24.21209,5.23712,21.0,14.0,27750.0,0.0,1.16895,0.00022,0.0,0.0,0.5
YGL181W,44,0.0031760713280653816,0.31886527879382376,0.01331618570577241,0.02536997885835095,36.70473251028807,1.0,2.1142857142857143,0,0.09596,-0.86263,55.38997,7.04706,43.0,43.0,37985.0,0.0,0.8554,0.00016,0.0,0.0,0.5
YML109W,34,0.0008680944146630526,0.3102179509434309,0.01480668864278178,0.0873440285204991,24.642557651991613,0.0,96.23333333333332,0,0.04671,-0.84055,49.46688,5.22443,152.0,113.0,49070.0,0.0,0.46514,5e-05,0.0,0.0,0.5
YAL005C,15,0.0001439211508746316,0.29384377020041946,0.008484515692973474,0.10476190476190476,13.524722502522705,0.0,19.04809161426809,0,0.06075,-0.43847,32.08911,4.99786,100.0,79.0,20775.0,0.0,0.29825,7e-05,0.0,0.0,0.5
YAR002W,13,0.0004367147895661521,0.30815733597929473,0.009861633864829036,0.3076923076923077,12.238143289606459,0.3333333333333333,43.48757908757908,0,0.0705,-0.83265,58.93321,9.3371,60.0,73.0,22350.0,0.0,0.37857,0.00016,0.0,0.0,0.5
YCL028W,22,0.0006772842520860854,0.31509528493096994,0.019440294236839174,0.047619047619047616,20.5882946518668,0.5,120.0,1,0.07407,-1.13728,43.89037,6.13251,16.0,13.0,23840.0,0.0,0.5599,0.00014,0.13471888792096168,0.10612484556922272,0.5025773102474905
YDR192C,31,0.0012917357286001954,0.31218955235138346,0.012486019637401003,0.06451612903225806,23.275077559462254,0.25,37.42857142857143,0,0.08837,-0.40744,38.19279,9.93915,10.0,18.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.5
YHR069C,12,4.217702070614236e-05,0.2743281934782825,0.0028853360164449652,0.5151515151515151,8.42579908675799,0.3333333333333333,38.08030303030304,1,0.0585,-0.39081,40.87493,5.8642,41.0,36.0,38765.0,0.0,0.98321,0.00015,0.13471888792096168,0.09594291819257511,0.5056934017298941
YLR310C,71,0.009003744810637053,0.32057905980468054,0.022806186607345805,0.018108651911468814,52.205438066465256,0.0,89.1845238095238,1,0.08496,-0.52624,46.51606,6.66473,187.0,181.0,140510.0,0.0,0.78458,4e-05,0.8652811120790382,0.0,0.5
YLR335W,19,0.00019657760936679983,0.2989100421004267,0.008712985218027568,0.26900584795321636,17.565524193548388,0.3333333333333333,40.0458041958042,0,0.07083,-0.90403,38.60028,6.8045,104.0,104.0,9065.0,0.0,0.1164,9e-05,0.0,0.0,0.5
