Protein,Priority Fun_GO,Orthologous,Sub_cell,.1B,.2B,.3B,.4B,.5B,.6B,.7B,.8B,.9B,.1A,.2A,.3A,.4A,.5A,.6A,.7A,.8A,.9A
YJL034W,0.273148148,0.444551094,0.103953148,0.138012943,0.172072737,0.206132532,0.240192326,0.274252121,0.308311916,0.34237171,0.376431505,0.410491299,0.396756984,0.383022669,0.369288354,0.355554039,0.341819724,0.328085409,0.314351093,0.300616778,0.286882463
YER179W,0.273148148,0.38634321,0.39238653,0.391782198,0.391177866,0.390573534,0.389969202,0.38936487,0.388760538,0.388156206,0.387551874,0.386947542,0.375567603,0.364187663,0.352807724,0.341427784,0.330047845,0.318667906,0.307287966,0.295908027,0.284528087
YPR110C,0.185185185,0.752735598,0.39238653,0.428421437,0.464456344,0.50049125,0.536526157,0.572561064,0.608595971,0.644630878,0.680665784,0.716700691,0.663549141,0.61039759,0.557246039,0.504094489,0.450942938,0.397791387,0.344639837,0.291488286,0.238336736
YGR254W,0.273148148,0.27498053,0.358223524,0.349899225,0.341574925,0.333250626,0.324926326,0.316602027,0.308277728,0.299953428,0.291629129,0.283304829,0.282289161,0.281273493,0.280257825,0.279242157,0.278226489,0.277210821,0.276195152,0.275179484,0.274163816
YJL130C,0.273148148,0.268208572,0.358223524,0.349222029,0.340220534,0.331219038,0.322217543,0.313216048,0.304214553,0.295213058,0.286211562,0.277210067,0.276803875,0.276397683,0.275991491,0.2755853,0.275179108,0.274772916,0.274366724,0.273960532,0.27355434
YER173W,0.273148148,0.203723896,0.39238653,0.373520267,0.354654003,0.33578774,0.316921476,0.298055213,0.27918895,0.260322686,0.241456423,0.222590159,0.227645958,0.232701757,0.237757556,0.242813355,0.247869154,0.252924953,0.257980751,0.26303655,0.268092349
YMR049C,0.273148148,0.174901501,0.39238653,0.370638027,0.348889524,0.327141021,0.305392518,0.283644016,0.261895513,0.24014701,0.218398507,0.196650004,0.204299818,0.211949633,0.219599447,0.227249262,0.234899076,0.24254889,0.250198705,0.257848519,0.265498334
YLR291C,0.273148148,0.213487347,0,0.021348735,0.042697469,0.064046204,0.085394939,0.106743674,0.128092408,0.149441143,0.170789878,0.192138612,0.200239566,0.208340519,0.216441473,0.224542427,0.23264338,0.240744334,0.248845287,0.256946241,0.265047194
YDR171W,0.273148148,0.197464464,0,0.019746446,0.039492893,0.059239339,0.078985786,0.098732232,0.118478678,0.138225125,0.157971571,0.177718018,0.187261031,0.196804044,0.206347057,0.21589007,0.225433083,0.234976096,0.244519109,0.254062122,0.263605135
YOR283W,0.143518519,0.750610054,0,0.075061005,0.150122011,0.225183016,0.300244022,0.375305027,0.450366032,0.525427038,0.600488043,0.675549049,0.622345996,0.569142943,0.51593989,0.462736837,0.409533784,0.356330731,0.303127678,0.249924625,0.196721572
