protein,degree,betweenness,closeness,eigenvector,clustering,OS,P_Ci,GO_Nb,essential,phys_1,phys_2,phys_3,phys_4,phys_5,phys_6,phys_7,phys_8,phys_9,phys_10,N_c,Sim_Loc,Ortho_Sim_Loc
YDL106C,4,0.001737304893529048,0.19489096401070913,7.468150391540464e-07,0.0,1.1639908256880733,1.0,0.0,0,0.06798,-0.97174,42.70358,4.88885,78.0,49.0,34295.0,0.0,0.54102,8e-05,0.0,0.0,0.5
YKR099W,3,0.0008640830688344855,0.1943720747465055,1.957876700848414e-05,0.0,1.0,1.0,0.0,0,0.04932,-0.91245,45.52282,8.10687,96.0,98.0,76235.0,0.0,0.85081,9e-05,0.0,0.0,0.5
YKL205W,5,0.005328155661337878,0.17221100908652037,7.263186884471796e-07,0.1,3.2215320910973086,0.5,5.9,1,0.10455,0.02418,40.48174,5.01361,123.0,94.0,103105.0,0.0,0.81301,4e-05,0.3167384070100485,0.19390444008233815,0.5300950657325737
YNR034W,1,0.0,0.14511722079101172,9.864740502805644e-09,0.0,0.0,0.5,0.0,0,0.08411,-0.37695,35.74707,7.09943,43.0,43.0,32805.0,0.0,0.92014,0.0002,0.0,0.0,0.0
YGL035C,5,0.0017134700105197632,0.20229138033705996,3.7326923533115715e-07,0.1,4.53030303030303,1.0,4.714285714285714,0,0.03373,-0.83869,57.8752,9.7995,38.0,55.0,9440.0,0.0,0.16999,0.00018,0.0,0.0,0.5
YBR112C,9,0.003214758283805785,0.20254081483809208,1.830649610913779e-05,0.08333333333333333,7.801611278952668,1.0,4.790909090909091,1,0.05487,-0.8383,61.72527,4.91473,102.0,60.0,103305.0,0.0,0.96366,5e-05,0.3167384070100485,0.24054770888719992,0.5154165402688131
YBR195C,1,0.0,0.00043122035360068997,1.526654176624869e-14,0.0,1.0,0.5,3.2,0,0.08294,-0.50166,32.35687,5.32062,54.0,35.0,78795.0,0.0,1.6636,0.00011,0.0,0.0,0.5
YML102W,1,0.0,0.00043122035360068997,1.526654176624869e-14,0.0,1.0,1.0,1.25,0,0.07906,-0.19658,46.64724,5.91437,53.0,46.0,66110.0,0.0,1.28991,0.00012,0.0,0.0,0.5
YNL259C,1,0.0,0.00043122035360068997,1.526654176624869e-14,0.0,0.0,0.0,0.0,0,0.06849,-0.15342,27.73151,8.58063,9.0,11.0,4720.0,0.0,0.57417,0.00104,0.0,0.0,0.0
YDR270W,1,0.0,0.00043122035360068997,1.526654176624869e-14,0.0,0.0,0.0,0.0,0,0.07968,0.21345,30.66697,5.04535,113.0,85.0,91740.0,0.0,0.83531,5e-05,0.0,0.0,0.0
YBR010W,17,0.010514186481535827,0.20254081483809208,1.7981514230092308e-05,0.22058823529411764,13.74016563146998,0.0,16.004901960784313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
YLR442C,7,0.003186554046679955,0.19946642481322732,4.914103790646016e-07,0.2857142857142857,5.366296670030272,1.0,6.259103641456583,0,0.07157,-0.50624,46.6488,6.02118,145.0,136.0,86135.0,0.0,0.77349,5e-05,0.0,0.0,0.5
YBR009C,21,0.006803780739048663,0.20066448233781045,1.7756132651032598e-05,0.1380952380952381,0.0,0.0,13.683473389355743,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6832615929899515,0.0,0.0
YDR227W,9,0.004092597877055063,0.2015467494891935,9.274893262035532e-07,0.05555555555555555,6.1252653927813165,1.0,0.0,0,0.04713,-0.88358,46.84382,9.03192,185.0,206.0,64915.0,0.0,0.4269,6e-05,0.0,0.0,0.5
YNL216W,6,0.001973389043861525,0.18358267765710276,1.0250240469272792e-07,0.0,4.401557285873192,0.5,0.0,1,0.07255,-0.78573,36.61985,4.82953,134.0,88.0,48750.0,0.0,0.52753,5e-05,0.3167384070100485,0.19390444008233815,0.5220267995494089
YDR225W,9,4.657614100021348e-05,0.18011030793168056,5.037507665498128e-07,0.75,6.234106962663976,0.5,35.900000000000006,0,0.0303,-0.31591,53.03106,10.6734,8.0,21.0,4470.0,0.0,0.31954,0.00076,0.0,0.0,0.5
YDR224C,12,0.0030434837478035804,0.19163204452696014,5.635387138402975e-07,0.42424242424242425,8.983983983983984,0.5,19.914285714285715,1,0.05344,-0.7,37.24046,10.09955,11.0,26.0,7450.0,0.0,0.52273,0.00071,0.6832615929899515,0.2887195853553551,0.5160685719091922
