Proteins,isoelectric point,negatively charged particle,positively charged particle,absorbance
Q0050,9.88751,63,129,1.0797
Q0080,9.992,0,3,0.76775
Q0085,7.85052,8,9,1.51261
Q0130,7.93402,2,3,0.20814
Q0250,4.44708,30,13,1.71037
Q0275,6.54657,12,9,2.37489
R0020C,5.99152,54,47,1.26612
R0030W,5.90436,24,23,0.78349
YAL001C,9.37933,152,189,1.02588
YAL002W,5.57721,149,120,1.06753
YAL003W,4.29535,44,20,0.9323
YAL004W,5.23712,21,14,1.16895
YAL005C,4.99786,100,79,0.29825
YAL007C,4.99969,25,20,1.0248
YAL009W,10.02911,25,41,1.50001
YAL010C,6.83722,50,49,1.32343
YAL011W,9.18475,109,125,0.74793
YAL012W,6.05597,42,35,0.60882
YAL013W,4.59406,88,48,0.7576
YAL014C,4.6546,40,25,0.26507
YAL015C,8.09064,51,53,1.5801
YAL016W,4.54877,92,58,0.80747
YAL017W,5.46222,193,154,0.6117
YAL018C,8.70612,18,21,1.10459
YAL019W,5.24017,189,152,0.63464
YAL021C,6.36664,85,77,1.00207
YAL022C,4.93781,57,38,1.14633
YAL023C,7.61029,66,67,2.30848
YAL024C,6.04987,190,173,0.75848
YAL025C,5.16083,67,52,1.36293
YAL026C,5.29681,174,136,1.15831
YAL027W,9.35968,28,36,0.49346
YAL028W,8.88019,63,70,0.50009
YAL029C,7.5224,184,185,1.00858
YAL030W,7.87848,16,17,0.65184
YAL031C,9.71503,68,108,1.04485
YAL032C,9.14557,51,58,0.61261
YAL033W,7.67694,23,24,0.25392
YAL034C,9.87518,33,60,1.28868
YAL034W-A,5.12946,55,47,0.36609
YAL035W,5.61298,184,166,0.54063
YAL036C,8.48212,46,49,0.61203
YAL038W,7.55609,60,61,0.52664
YAL040C,9.23309,40,56,0.92576
YAL041W,8.60187,90,96,0.62612
YAL042W,6.34515,47,42,0.85737
YAL043C,5.89105,99,90,0.74396
YAL045C,6.56378,9,8,1.26464
YAL047C,4.97198,109,76,0.45614
YAL048C,5.66241,86,74,0.95696
YAL049C,5.83856,32,26,0.86457
YAL051W,6.53705,120,114,0.685
YAL053W,8.15045,59,62,1.04016
YAL054C,6.15338,86,77,1.42867
YAL055W,8.55035,23,26,0.95967
YAL056W,6.75702,104,101,0.94577
YAL058W,5.14972,66,46,1.73099
YAL059W,9.69427,32,43,0.58516
YAL060W,6.0954,47,39,0.90942
YAL061W,5.7077,59,45,1.02239
YAL062W,5.35309,55,47,1.13044
YAL063C-A,9.73627,6,15,1.1894
YAL064W,9.72784,7,13,0.16949
YAL064W-B,4.18158,17,0,0.2716
YAL066W,10.24396,3,13,0.51268
YAL067C,8.17328,59,62,2.52973
YAL069W,6.51788,3,1,0.83274
YAR002C-A,6.99969,27,27,1.27674
YAR002W,9.3371,60,73,0.37857
YAR003W,4.68256,67,36,1.72852
YAR007C,5.86749,79,72,0.97979
YAR008W,7.06927,37,37,1.03968
YAR014C,4.34247,151,69,0.67947
YAR018C,8.58246,56,61,1.31731
YAR019C,8.02167,100,103,1.00957
YAR023C,7.67426,14,15,2.3876
YAR027W,5.75702,27,21,1.37925
YAR028W,5.11603,27,18,1.31358
YAR030C,10.31232,3,15,0.79735
YAR031W,8.11383,36,38,1.5666
YAR033W,6.91681,26,26,1.53632
YAR035W,6.45221,77,72,1.24228
YAR042W,5.34711,185,142,1.24837
YAR047C,9.48529,4,12,1.38954
YAR064W,8.5401,9,12,0.83987
YAR066W,4.4881,21,12,0.43412
YAR068W,11.76373,1,9,0.91614
YAR069C,5.30487,8,4,1.31494
YAR071W,4.99335,58,41,1.54188
YAR073W,8.36395,41,44,1.10644
YBL001C,6.17303,15,13,0.75794
YBL002W,10.06757,11,25,0.52328
YBL003C,10.6734,8,21,0.31954
YBL004W,6.591,312,300,0.90575
YBL005W,6.14301,112,102,1.05645
YBL005W-B,8.34039,192,200,0.95184
YBL006C,9.07916,18,23,0.40168
YBL007C,5.65753,140,126,0.70223
YBL008W,6.72076,109,106,1.17717
YBL009W,9.41278,63,87,0.83428
YBL010C,4.99493,52,38,0.62624
YBL013W,9.68109,36,54,0.50553
YBL014C,5.02679,132,95,1.05392
YBL015W,6.29645,67,60,0.80683
YBL016W,6.64325,45,43,0.93472
YBL017C,4.74908,246,163,1.07161
YBL018C,4.70673,24,15,1.91462
YBL019W,9.24371,62,79,0.86173
YBL020W,9.25177,41,55,1.27843
YBL021C,4.77679,23,15,0.73265
YBL022C,5.42828,186,158,0.64971
YBL023C,5.02509,155,115,0.57062
YBL024W,7.0141,98,97,1.06128
YBL025W,5.06293,24,16,0.89763
YBL026W,7.84467,13,14,0.41164
YBL027W,11.35272,19,51,0.78143
YBL029W,6.04962,43,40,0.70041
YBL030C,9.79913,22,42,1.05648
YBL031W,10.40546,27,53,0.34066
YBL032W,5.75519,55,48,0.22048
YBL033C,5.90497,48,41,0.842
YBL034C,5.93622,193,175,0.69631
YBL035C,6.56915,81,78,0.52429
YBL036C,6.03217,39,36,0.89071
YBL037W,8.8067,101,113,0.77532
YBL038W,10.32172,19,46,0.87376
YBL039C,5.66608,83,66,0.93989
YBL040C,9.75995,11,23,1.935
YBL041W,5.72406,33,28,0.93485
YBL042C,7.43158,54,55,2.28666
YBL043W,4.24835,53,19,0.6913
YBL044W,10.24738,10,23,0.65741
YBL045C,6.77521,47,46,1.00633
YBL046W,4.25763,108,49,0.66411
YBL047C,4.61102,192,109,0.43265
YBL049W,9.29999,11,20,1.57194
YBL050W,4.96381,48,37,1.02935
YBL051C,5.82196,54,43,0.50037
YBL052C,6.06036,134,124,1.22488
YBL053W,8.42084,2,4,1.13235
YBL054W,9.36859,57,70,0.62938
YBL056W,4.47711,84,41,0.50067
YBL058W,4.888,67,48,0.73702
YBL059W,10.10797,15,30,0.89686
YBL061C,9.2995,72,90,0.86602
YBL063W,6.41766,135,127,0.33205
YBL064C,8.9693,31,36,1.01117
YBL065W,9.73846,7,13,1.47503
YBL066C,7.39667,107,107,0.80623
YBL067C,5.83844,104,93,0.6293
YBL068W,5.93817,41,35,0.30949
YBL071C,9.65375,6,13,0.66728
YBL072C,10.66925,17,44,1.14232
YBL074C,4.9079,57,35,1.32306
YBL075C,5.05243,100,80,0.35608
YBL076C,5.74225,157,139,1.56247
YBL078C,9.16107,17,21,0.66524
YBL079W,5.78668,173,151,0.81768
YBL080C,7.28107,65,65,0.77851
YBL081W,8.56525,13,15,1.20884
YBL082C,9.08197,27,38,1.99639
YBL084C,8.88263,58,72,0.9736
YBL085W,9.13397,115,132,0.66097
YBL086C,9.08832,49,57,1.14643
YBL088C,6.52081,328,316,1.22554
YBL089W,9.08795,23,33,0.63036
YBL090W,10.52618,19,37,0.15225
YBL091C,5.83588,68,58,0.80643
YBL092W,11.16583,7,30,0.67497
YBL093C,5.95831,27,25,0.98704
YBL094C,9.50714,3,9,0.62008
YBL095W,7.742,31,32,1.16058
YBL097W,4.57037,156,91,0.63196
YBL098W,8.59845,58,63,0.81453
YBL099W,9.06122,58,64,0.54575
YBL100C,7.54181,10,11,0.46399
YBL100W-A,7.01813,41,40,1.10538
YBL101C,6.43085,132,125,0.56246
YBL102W,9.09552,13,18,1.30036
YBL103C,5.52606,63,46,0.54194
YBL104C,5.76593,137,121,1.41944
YBL105C,6.69427,159,154,0.8953
YBL106C,8.84076,94,107,0.82367
YBL107C,6.62994,30,30,1.07553
YBL108W,8.67596,8,12,1.54008
YBL112C,9.38568,11,17,1.66859
YBL113C,6.47345,82,79,0.96326
YBR001C,6.05316,105,95,1.54324
YBR003W,8.97015,55,62,0.44797
YBR004C,9.51532,19,39,2.32928
YBR006W,6.24078,55,52,0.89881
YBR007C,9.27472,83,105,0.68051
YBR008C,5.9682,45,40,1.62401
YBR010W; YNL031C,11.435,11,33,0.19406
YBR011C,5.36371,43,35,1.53301
YBR012C,6.26984,15,14,1.75145
YBR012W-B,8.59955,189,202,0.97354
YBR013C,6.69196,8,8,0.96917
YBR014C,5.63666,27,21,0.64547
YBR015C,5.87714,82,74,1.12899
YBR017C,4.49969,134,67,0.95766
YBR018C,7.21039,42,42,1.45336
YBR019C,5.65582,84,71,1.18116
YBR020W,6.2951,58,54,0.82925
YBR021W,8.19586,46,50,2.40008
