,,LIDC
YBL007C,,YAL001C
YLR208W,,YAL003W
YLR025W,,YAL012W
YBR170C,,YAL025C
YMR165C,,YAL032C
YJL080C,,YAL033W
YOL009C,,YAL034C-B
YAR008W,,YAL034W-A
YLR105C,,YAL035C-A
YPL083C,,YAL035W
YMR059W,,YAL038W
YKL213C,,YAL041W
YLR170C,,YAL043C
YDR463W,,YAR007C
YGL208W,,YAR008W
YGR209C,,YAR019C
YGL100W,,YBL003C
YPL210C,,YBL004W
YOR056C,,YBL014C
YOL100W,,YBL018C
YER123W,,YBL020W
YAR042W,,YBL023C
YMR255W,,YBL026W
YBR244W,,YBL030C
YDR477W,,YBL034C
YDR532C,,YBL035C
YGL093W,,YBL040C
YOR046C,,YBL041W
YMR258C,,YBL050W
YGL092W,,YBL073W
YPR174C,,YBL074C
YDL207W,,YBL076C
YDR192C,,YBL077W
YJL061W,,YBL084C
YIL115C,,YBL092W
YMR047C,,YBL097W
YKL068W,,YBL102W
YGL172W,,YBL105C
YER105C,,YBR002C
YGR119C,,YBR004C
YDL116W,,YBR009C
YJR042W,,YBR011C
YDL088C,,YBR024W
YMR153W,,YBR029C
YKL057C,,YBR038W
YKR082W,,YBR049C
YER107C,,YBR055C
YJL041W,,YBR058C-A
YFR002W,,YBR060C
YML103C,,YBR070C
YBL079W,,YBR079C
YDL226C,,YBR080C
YGR144W,,YBR087W
YNL278W,,YBR088C
YDR409W,,YBR089C-A
YGR058W,,YBR089W
YGR092W,,YBR091C
YKR048C,,YBR102C
YIL106W,,YBR106W
YFR028C,,YBR109C
YGL037C,,YBR110W
YKR096W,,YBR112C
YDR252W,,YBR121C
YDL092W,,YBR123C
YKL122C,,YBR124W
YPL243W,,YBR135W
YLR231C,,YBR136W
YJR025C,,YBR140C
YJR070C,,YBR142W
YEL038W,,YBR143C
YPR118W,,YBR152W
YNL141W,,YBR153W
YOR006C,,YBR154C
YJR069C,,YBR155W
YKL024C,,YBR158W
YKR038C,,YBR160W
YCR036W,,YBR167C
YFR050C,,YBR168W
YEL034W,,YBR190W
YLL050C,,YBR192W
YKL058W,,YBR193C
YOR194C,,YBR196C
YLR347C,,YBR198C
YGL058W,,YBR200W
YOL133W,,YBR202W
YNL023C,,YBR211C
YNL015W,,YBR233W-A
YOR159C,,YBR234C
YHR170W,,YBR236C
YNL223W,,YBR237W
YBR195C,,YBR243C
YAL021C,,YBR247C
YNR052C,,YBR252W
YER027C,,YBR253W
YPL217C,,YBR254C
YNL110C,,YBR256C
YGL105W,,YBR257W
YGR264C,,YBR265W
YCR093W,,YCL003W
YDL165W,,YCL004W
YPR030W,,YCL017C
YGL003C,,YCL028W
YKL130C,,YCL031C
YBR158W,,YCL041C
YPL012W,,YCL043C
YOR145C,,YCL052C
YPL266W,,YCL053C
YPL204W,,YCL054W
YLR009W,,YCL059C
YER133W,,YCL067C
YDR361C,,YCR012W
YDR091C,,YCR013C
YDR423C,,YCR035C
YPL086C,,YCR039C
YDR465C,,YCR042C
YDR012W,,YCR052W
YLR063W,,YCR054C
YOL021C,,YCR057C
YPL226W,,YCR072C
YGL169W,,YCR088W
YDR520C,,YCR093W
YBR239C,,YCR096C
YPL133C,,YDL003W
YOL089C,,YDL004W
YLR228C,,YDL007W
YOR172W,,YDL008W
YOR162C,,YDL013W
YLR266C,,YDL014W
YMR213W,,YDL015C
YBL054W,,YDL016C
YIR018W,,YDL017W
YIR017C,,YDL028C
YHL009C,,YDL029W
YOR372C,,YDL030W
YIL056W,,YDL031W
YBL056W,,YDL043C
YCL028W,,YDL045C
YNL077W,,YDL055C
YNL330C,,YDL058W
YDR482C,,YDL060W
YGR161C,,YDL064W
YDR099W,,YDL067C
YFL028C,,YDL084W
YLR044C,,YDL087C
YGL128C,,YDL089W
YGR278W,,YDL092W
YPL151C,,YDL097C
YAL033W,,YDL098C
YPL014W,,YDL102W
YIL079C,,YDL103C
YAL061W,,YDL105W
YDR140W,,YDL108W
YDL070W,,YDL111C
YBL001C,,YDL120W
YPR175W,,YDL126C
YPR190C,,YDL132W
YKR022C,,YDL139C
YDL053C,,YDL140C
YHR121W,,YDL141W
YIL132C,,YDL143W
YDL132W,,YDL145C
YPR172W,,YDL147W
YBL036C,,YDL148C
YDR075W,,YDL150W
YIL097W,,YDL152W
YCR082W,,YDL153C
YOL032W,,YDL155W
YGR205W,,YDL163W
YHL030W,,YDL164C
YDL190C,,YDL165W
YBR058C,,YDL166C
YLR016C,,YDL193W
YBL084C,,YDL195W
YDR118W,,YDL196W
YGL240W,,YDL205C
YLR127C,,YDL207W
YER028C,,YDL208W
YPL038W,,YDL209C
YER059W,,YDL212W
YJL162C,,YDL217C
YOR197W,,YDL220C
YLR082C,,YDL221W
YDL156W,,YDL232W
YDL124W,,YDL235C
YGR204W,,YDR002W
YOL064C,,YDR013W
YML014W,,YDR016C
YGR219W,,YDR021W
YNR046W,,YDR023W
YNL281W,,YDR037W
YGL162W,,YDR041W
YMR226C,,YDR044W
YGR013W,,YDR045C
YLR079W,,YDR047W
YDR111C,,YDR050C
YLR401C,,YDR052C
YNL042W,,YDR053W
YNL309W,,YDR054C
YNL221C,,YDR060W
YGL011C,,YDR062W
YMR291W,,YDR064W
YDR243C,,YDR081C
YOL093W,,YDR082W
YBR202W,,YDR086C
YLR424W,,YDR087C
YKR043C,,YDR088C
YOL017W,,YDR091C
YPR031W,,YDR113C
YOR208W,,YDR118W
YCL026C-A,,YDR123C
YPR051W,,YDR130C
YPL208W,,YDR141C
YCL050C,,YDR145W
YOR209C,,YDR151C
YPL245W,,YDR160W
YCR047C,,YDR164C
YOL038W,,YDR166C
YCR059C,,YDR167W
YDR400W,,YDR168W
YCR060W,,YDR170C
YNR027W,,YDR172W
YOR023C,,YDR177W
YGL090W,,YDR180W
YGR203W,,YDR182W
YIL110W,,YDR187C
YLR102C,,YDR188W
YFR047C,,YDR189W
YLR134W,,YDR190C
YLR421C,,YDR196C
YER062C,,YDR201W
YIL053W,,YDR208W
YGR269W,,YDR211W
YNL155W,,YDR212W
YDR051C,,YDR224C
YDL110C,,YDR226W
YJR017C,,YDR228C
YDL129W,,YDR231C
YDR399W,,YDR232W
YDR054C,,YDR233C
YJL164C,,YDR235W
YPR187W,,YDR236C
YDL144C,,YDR238C
YGL250W,,YDR240C
YLR085C,,YDR241W
YNR012W,,YDR243C
YDR020C,,YDR246W
YIL145C,,YDR267C
YLR328W,,YDR280W
YPL024W,,YDR288W
YDR063W,,YDR292C
YOR298C-A,,YDR299W
YDR132C,,YDR301W
YMR127C,,YDR302W
YOR028C,,YDR303C
YDR253C,,YDR308C
YLR154C,,YDR311W
YHR163W,,YDR320C-A
YER035W,,YDR323C
YER084W,,YDR324C
YDR346C,,YDR325W
YGR151C,,YDR327W
YJR050W,,YDR328C
YML022W,,YDR331W
YHR207C,,YDR339C
YJR067C,,YDR341C
YDR530C,,YDR353W
YDR531W,,YDR355C
YER162C,,YDR356W
YEL058W,,YDR361C
YJR130C,,YDR362C
YOR138C,,YDR364C
YEL066W,,YDR365C
YER104W,,YDR367W
YKR079C,,YDR373W
YHR097C,,YDR376W
YKR018C,,YDR378C
YLR435W,,YDR381W
YER163C,,YDR389W
YPL071C,,YDR390C
YJR084W,,YDR394W
YFL044C,,YDR395W
YLR094C,,YDR396W
YHL027W,,YDR397C
YKL086W,,YDR398W
YNL224C,,YDR404C
YGL157W,,YDR407C
YPL064C,,YDR412W
YGL184C,,YDR413C
YKL110C,,YDR416W
YKL183W,,YDR420W
YOL151W,,YDR427W
YNL045W,,YDR429C
YNR015W,,YDR432W
YOR107W,,YDR434W
YOR275C,,YDR437W
YHR046C,,YDR449C
YHR049W,,YDR454C
YHR087W,,YDR460W
YOR352W,,YDR464W
YPL260W,,YDR468C
YPL247C,,YDR470C
YPL046C,,YDR472W
YLR118C,,YDR473C
YMR278W,,YDR478W
YJR097W,,YDR487C
YLR301W,,YDR489W
YJR146W,,YDR498C
YKL069W,,YDR499W
YOR148C,,YDR505C
YKR080W,,YDR510W
YLR011W,,YDR526C
YLR271W,,YDR527W
YNL072W,,YDR531W
YNR009W,,YDR532C
YOR131C,,YEL002C
YOR283W,,YEL019C
YDR328C,,YEL020W-A
YGR262C,,YEL026W
YPR154W,,YEL032W
YBR090C,,YEL034W
YGR178C,,YEL035C
YNL036W,,YEL044W
YJL082W,,YEL055C
YNL007C,,YEL058W
YGL131C,,YER003C
YJL047C,,YER005W
YMR233W,,YER006W
YOR083W,,YER008C
YGL175C,,YER009W
YDR066C,,YER012W
YJR136C,,YER013W
YKL033W,,YER016W
YKL017C,,YER018C
YLR265C,,YER019C-A
YGL241W,,YER021W
YDR280W,,YER022W
YBL014C,,YER023W
YGR195W,,YER025W
YCR035C,,YER026C
YGR095C,,YER029C
YNL232W,,YER036C
YDL111C,,YER038C
YOL142W,,YER043C
YDL127W,,YER048W-A
YNL289W,,YER060W
YGR277C,,YER070W
YNL313C,,YER074W-A
YPR093C,,YER082C
YDR223W,,YER093C
YDR155C,,YER094C
YLR384C,,YER104W
YMR312W,,YER106W
YER036C,,YER112W
YFL033C,,YER125W
YPL201C,,YER126C
YOR230W,,YER127W
YHL034C,,YER133W
YLR437C,,YER136W
YER041W,,YER146W
YER125W,,YER147C
YPL131W,,YER148W
YGR085C,,YER157W
YPR102C,,YER159C
YPL090C,,YER165W
YJL191W,,YER168C
YOR096W,,YER171W
YNL096C,,YER172C
YBR057C,,YFL002C
YGL192W,,YFL005W
YNL196C,,YFL008W
YOR014W,,YFL009W
YLR147C,,YFL017C
YFR034C,,YFL017W-A
YBR017C,,YFL018W-A
YER110C,,YFL022C
YMR308C,,YFL023W
YOL001W,,YFL024C
YIL071C,,YFL029C
YDR179C,,YFL034C-B
YOL117W,,YFL035C
YKL145W,,YFL035C-A
YGL048C,,YFL037W
YGR134W,,YFL038C
YNL288W,,YFL039C
YDL007W,,YFL045C
YDR394W,,YFR002W
YOR117W,,YFR003C
YMR025W,,YFR004W
YMR285C,,YFR005C
YER068W,,YFR027W
YPR072W,,YFR028C
YIL038C,,YFR029W
YOR373W,,YFR031C
YPL253C,,YFR037C
YPR141C,,YFR042W
YOR269W,,YFR050C
YOL111C,,YFR051C
YOL149W,,YFR052W
YEL015W,,YGL001C
YOR129C,,YGL003C
YNL189W,,YGL008C
YBL032W,,YGL011C
YGL173C,,YGL014W
YLR270W,,YGL018C
YOR173W,,YGL022W
YNL064C,,YGL029W
YGL245W,,YGL030W
YOR274W,,YGL040C
YJR047C,,YGL044C
YBL005W-B,,YGL047W
YGR161W-B,,YGL048C
YBR012W-B,,YGL055W
YER138C,,YGL061C
YER160C,,YGL065C
YCL019W,,YGL068W
YDR261W-B,,YGL069C
YJR029W,,YGL073W
YLR410W-B,,YGL074C
YLR456W,,YGL075C
YPR137C-B,,YGL084C
YGR161C-D,,YGL091C
YHR214C-B,,YGL092W
YIL082W-A,,YGL093W
YJR027W,,YGL097W
YMR045C,,YGL098W
YNL284C-B,,YGL099W
YOL103W-B,,YGL102C
YPL257W-B,,YGL103W
YDR395W,,YGL106W
YHR069C,,YGL111W
YPL211W,,YGL112C
YBL004W,,YGL113W
YBR247C,,YGL116W
YGR158C,,YGL120C
YDL060W,,YGL122C
YDR378C,,YGL123W
YPR016C,,YGL128C
YDR101C,,YGL130W
YNL107W,,YGL137W
YAL013W,,YGL142C
YGL238W,,YGL145W
YPL001W,,YGL150C
YPL194W,,YGL155W
YNL112W,,YGL166W
YBL041W,,YGL169W
YER012W,,YGL171W
YPR103W,,YGL172W
YGL004C,,YGL180W
YKL210W,,YGL189C
YOL123W,,YGL201C
YPL031C,,YGL207W
YIL046W,,YGL213C
YGR253C,,YGL225W
YPL048W,,YGL233W
YGL091C,,YGL236C
YCR065W,,YGL238W
YDR113C,,YGL239C
YPL096W,,YGL245W
YJL122W,,YGL247W
YBR281C,,YGR002C
YER094C,,YGR005C
YPL139C,,YGR009C
YMR009W,,YGR013W
YML099C,,YGR024C
YDL166C,,YGR029W
YGR135W,,YGR030C
YHR034C,,YGR046W
YLR032W,,YGR047C
YDR363W,,YGR048W
YNL016W,,YGR060W
YMR314W,,YGR065C
YKL062W,,YGR073C
YPR040W,,YGR074W
YJL001W,,YGR075C
YML092C,,YGR082W
YOR157C,,YGR083C
YOR362C,,YGR090W
YDR005C,,YGR091W
YGL220W,,YGR094W
YIR005W,,YGR095C
YGR200C,,YGR098C
YPR189W,,YGR099W
YPL125W,,YGR103W
YIR011C,,YGR113W
YPL219W,,YGR114C
YGL174W,,YGR115C
YIL008W,,YGR116W
YHR187W,,YGR119C
YPL101W,,YGR120C
YMR180C,,YGR128C
YLR017W,,YGR140W
YIL153W,,YGR145W
YNR034W,,YGR147C
YOR025W,,YGR155W
YGL213C,,YGR156W
YGR136W,,YGR158C
YCR077C,,YGR159C
YLR150W,,YGR172C
YDR305C,,YGR175C
YER057C,,YGR179C
YFL010C,,YGR185C
YKR064W,,YGR186W
YMR030W,,YGR190C
YIL033C,,YGR191W
YDL235C,,YGR195W
YGR233C,,YGR198W
YDR499W,,YGR211W
YDL216C,,YGR216C
YLR403W,,YGR218W
YLR113W,,YGR244C
YPL037C,,YGR245C
YHR193C,,YGR246C
YGR185C,,YGR251W
YNL207W,,YGR253C
YER165W,,YGR264C
YLR153C,,YGR265W
YDR267C,,YGR267C
YMR080C,,YGR274C
YJL141C,,YGR277C
YLL026W,,YGR278W
YDR002W,,YGR280C
YDL115C,,YGR294W
YER139C,,YHL015W
YDR184C,,YHR005C
YEL056W,,YHR005C-A
YDL063C,,YHR007C
YHL007C,,YHR009C
YBL074C,,YHR014W
YGR211W,,YHR019C
YER168C,,YHR020W
YLR145W,,YHR023W
YAL054C,,YHR024C
YPL262W,,YHR027C
YHR070W,,YHR036W
YKR072C,,YHR040W
YKL038W,,YHR042W
YPL016W,,YHR052W
YNL027W,,YHR058C
YPL124W,,YHR062C
YKL042W,,YHR065C
YBR156C,,YHR068W
YGR140W,,YHR069C
YMR125W,,YHR070W
YBL097W,,YHR072W
YJL124C,,YHR072W-A
YGR098C,,YHR074W
YML007W,,YHR082C
YHR185C,,YHR083W
YBL016W,,YHR084W
YGR040W,,YHR085W
YDR130C,,YHR086W
YJL026W,,YHR088W
YGR180C,,YHR089C
YDR288W,,YHR098C
YOR243C,,YHR099W
YGL061C,,YHR101C
YDR523C,,YHR102W
YER112W,,YHR107C
YJR022W,,YHR118C
YLR438C-A,,YHR122W
YNL147W,,YHR128W
YDR330W,,YHR143W-A
YCL039W,,YHR148W
YGL227W,,YHR164C
YIL017C,,YHR165C
YMR135C,,YHR166C
YBL058W,,YHR169W
YJR059W,,YHR170W
YEL037C,,YHR172W
YER038C,,YHR186C
YOR258W,,YHR188C
YKL149C,,YHR190W
YMR069W,,YHR196W
YMR067C,,YHR197W
YNL172W,,YHR199C-A
YKR083C,,YIL003W
YDR201W,,YIL004C
YDR016C,,YIL019W
YKL052C,,YIL021W
YKR037C,,YIL022W
YOR060C,,YIL026C
YGR218W,,YIL031W
YOL068C,,YIL046W
YEL019C,,YIL048W
YLR254C,,YIL051C
YDR146C,,YIL061C
YGL115W,,YIL062C
YLR136C,,YIL063C
YML058W,,YIL068C
YGL075C,,YIL075C
YJL019W,,YIL078W
YPL192C,,YIL083C
YOR257W,,YIL091C
YJL039C,,YIL104C
YML031W,,YIL106W
YKL009W,,YIL109C
YLR175W,,YIL115C
YPL146C,,YIL118W
YKL139W,,YIL126W
YML112W,,YIL129C
YAL059W,,YIL137C
YBR111W-A,,YIL142W
YBL026W,,YIL143C
YHR172W,,YIL144W
YNL126W,,YIL147C
YMR198W,,YIL150C
YIL149C,,YIL171W
YDR356W,,YIR004W
YPL209C,,YIR006C
YGR113W,,YIR008C
YBL034C,,YIR010W
YOR141C,,YIR011C
YPL269W,,YIR012W
YPL178W,,YIR015W
YJR132W,,YIR022W
YLR182W,,YJL001W
YMR104C,,YJL002C
YLR135W,,YJL005W
YFL007W,,YJL008C
YFR031C,,YJL009W
YLR086W,,YJL010C
YDR404C,,YJL011C
YJL140W,,YJL012C
YPL169C,,YJL014W
YFL034C-B,,YJL015C
YMR061W,,YJL018W
YKL205W,,YJL019W
YKL143W,,YJL025W
YLR274W,,YJL026W
YLR167W,,YJL031C
YIL148W,,YJL032W
 ,,YJL033W
YOR311C,,YJL034W
YDL015C,,YJL035C
YFL042C,,YJL039C
YLR072W,,YJL041W
YOR047C,,YJL050W
,,YJL054W
,,YJL061W
,,YJL069C
,,YJL072C
,,YJL074C
