Proteins,Ortho(O),Fun_Go(F),Sub_cell(S),O*F,F*S,O*S,O*F*S,"larg(O,F,S)"
Q0050,0,0.143518519,0,0,0,0,0,0.143518519
Q0080,0,0.143518519,0,0,0,0,0,0.143518519
Q0085,0,0.143518519,0,0,0,0,0,0.143518519
Q0130,0,0.143518519,0,0,0,0,0,0.143518519
Q0250,0,0.143518519,0,0,0,0,0,0.143518519
Q0275,0,0.143518519,0,0,0,0,0,0.143518519
R0020C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
R0030W,0,0.143518519,0,0,0,0,0,0.143518519
YAL001C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL002W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YAL003W,0,0.143518519,0,0,0,0,0,0.143518519
YAL004W,0,0.143518519,0,0,0,0,0,0.143518519
YAL005C,0.071456012,0.143518519,0.358223524,0.010255261,0.05141171,0.025597224,0.003673676,0.358223524
YAL007C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YAL009W,0,0.143518519,0.496339678,0,0.071233936,0,0,0.496339678
YAL010C,0,0.143518519,0.496339678,0,0.071233936,0,0,0.496339678
YAL011W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL012W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YAL013W,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YAL014C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YAL015C,0.205958588,0.013888889,0.39238653,0.002860536,0.005449813,0.080815376,0.001122436,0.39238653
YAL016W,0,0.143518519,0,0,0,0,0,0.143518519
YAL017W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YAL018C,0,0.143518519,0,0,0,0,0,0.143518519
YAL019W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL021C,0.111383055,0.074074074,0.750610054,0.008250597,0.055600745,0.083605241,0.006192981,0.750610054
YAL022C,0,0.143518519,0,0,0,0,0,0.143518519
YAL023C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YAL024C,0,0.143518519,0.375549048,0,0.053898243,0,0,0.375549048
YAL025C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL026C,0.023818671,0.143518519,0.047096144,0.00341842,0.006759169,0.001121768,0.000160994,0.143518519
YAL027W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YAL028W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YAL029C,0.051995523,0.143518519,0.017325525,0.00746232,0.002486534,0.00090085,0.000129289,0.143518519
YAL030W,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YAL031C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YAL032C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL033W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YAL034C,0,0.143518519,0,0,0,0,0,0.143518519
YAL034W-A,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YAL035W,0.066736523,0.143518519,0.358223524,0.009577927,0.05141171,0.023906592,0.003431039,0.358223524
YAL036C,0.064024587,0.134259259,0.358223524,0.008595894,0.048094825,0.022935113,0.003079251,0.358223524
YAL038W,0.03269175,0.143518519,0,0.004691872,0,0,0,0.143518519
YAL040C,0.043414173,0.143518519,0,0.006230738,0,0,0,0.143518519
YAL041W,0,0.143518519,0,0,0,0,0,0.143518519
YAL042W,0.023818671,0.143518519,0.151049292,0.00341842,0.021678371,0.003597793,0.00051635,0.151049292
YAL043C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL045C,0,0.143518519,0,0,0,0,0,0.143518519
YAL047C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YAL048C,0,0.143518519,0,0,0,0,0,0.143518519
YAL049C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YAL051W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAL053W,0.023818671,0.143518519,0.103953148,0.00341842,0.014919202,0.002476026,0.000355356,0.143518519
YAL054C,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YAL055W,0,0.143518519,0.013421181,0,0.001926188,0,0,0.143518519
YAL056W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YAL058W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YAL059W,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YAL060W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YAL061W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YAL062W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YAL063C-A,0,0.143518519,0,0,0,0,0,0.143518519
YAL064W,0,0.143518519,0,0,0,0,0,0.143518519
YAL064W-B,0,0.143518519,0,0,0,0,0,0.143518519
YAL066W,0,0.143518519,0,0,0,0,0,0.143518519
YAL067C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YAL069W,0,0.143518519,0,0,0,0,0,0.143518519
YAR002C-A,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YAR002W,0,0.143518519,0.474133724,0,0.06804697,0,0,0.474133724
YAR003W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YAR007C,0.271795673,0.074074074,0.39238653,0.020133013,0.029065669,0.106648961,0.007899923,0.39238653
YAR008W,0,0.143518519,0.936310395,0,0.134377881,0,0,0.936310395
YAR014C,0.023818671,0.134259259,0,0.003197877,0,0,0,0.134259259
YAR018C,0,0.143518519,0,0,0,0,0,0.143518519
YAR019C,0,0.134259259,0.375549048,0,0.050420937,0,0,0.375549048
YAR023C,0,0.143518519,0,0,0,0,0,0.143518519
YAR027W,0.023818671,0.143518519,0.439482674,0.00341842,0.063073902,0.010467893,0.001502337,0.439482674
YAR028W,0.070402976,0.143518519,0,0.010104131,0,0,0,0.143518519
YAR030C,0,0.143518519,0,0,0,0,0,0.143518519
YAR031W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YAR033W,0.023818671,0.143518519,0.509272816,0.00341842,0.07309008,0.012130202,0.001740909,0.509272816
YAR035W,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YAR042W,0.023818671,0.143518519,0.838945827,0.00341842,0.120404263,0.019982575,0.00286787,0.838945827
YAR047C,0,0.143518519,0,0,0,0,0,0.143518519
YAR064W,0,0.143518519,0,0,0,0,0,0.143518519
YAR066W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YAR068W,0,0.143518519,0,0,0,0,0,0.143518519
YAR069C,0,0.143518519,0,0,0,0,0,0.143518519
YAR071W,0,0.143518519,0,0,0,0,0,0.143518519
YAR073W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL001C,0.037058849,0.143518519,0.750610054,0.005318631,0.107726443,0.027816745,0.003992218,0.750610054
YBL002W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL003C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL004W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL005W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL005W-B,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL006C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL007C,0,0.013888889,0.98340654,0,0.013658424,0,0,0.98340654
YBL008W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL009W,0,0.143518519,0,0,0,0,0,0.143518519
YBL010C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL013W,0,0.143518519,0.362859932,0,0.05207712,0,0,0.362859932
YBL014C,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YBL015W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YBL016W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL017C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBL018C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL019W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL020W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YBL021C,0.039348444,0.134259259,0.39238653,0.005282893,0.052681525,0.015439799,0.002072936,0.39238653
YBL022C,0,0.143518519,0,0,0,0,0,0.143518519
YBL023C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBL024W,0.057908945,0.143518519,0.39238653,0.008311006,0.056314734,0.02272269,0.003261127,0.39238653
YBL025W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL026W,0,0.074074074,0.750610054,0,0.055600745,0,0,0.750610054
YBL027W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL029W,0,0.143518519,0,0,0,0,0,0.143518519
YBL030C,0,0.013888889,0,0,0,0,0,0.013888889
YBL031W,0,0.143518519,0.375549048,0,0.053898243,0,0,0.375549048
YBL032W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL033C,0,0.143518519,0,0,0,0,0,0.143518519
YBL034C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL035C,0.080422577,0.143518519,0.39238653,0.011542129,0.056314734,0.031556736,0.004528976,0.39238653
YBL036C,0.110833653,0.143518519,0.750610054,0.015906682,0.107726443,0.083192854,0.011939715,0.750610054
YBL037W,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YBL038W,0.232431536,0.143518519,0,0.03335823,0,0,0,0.232431536
