,Protein,Subgraph,Degree,Information,Betweenness,Network,isoelectric point,negatively charged particle,positively charged particle,absorbance,Pred_Cluster
0,YJR045C,1.4e+16,174,4.1516886,468112.88,19.038797,5.48175,89,81,0.22555,0
1,YCL018W,1.29e+16,156,4.140478,364801.2,14.983334,5.51874,46,39,0.72422,0
2,YLR259C,1.13e+16,168,4.1481676,421930.3,11.977374000000001,5.22699,83,72,0.18197,0
3,YML064C,7950000000000000.0,164,4.145664,525497.44,14.585173000000001,9.40448,20,27,0.69735,1
4,YBR127C,7910000000000000.0,113,4.099634,211911.03,8.051774,4.95099,80,59,0.58763,1
5,YPR110C,7430000000000000.0,129,4.11796,330805.3,18.774994,5.34198,49,41,0.6643,2
6,YBR072W,7390000000000000.0,113,4.099634,214500.44,6.405967700000001,5.31268,33,28,0.89743,2
7,YJR121W,7120000000000000.0,127,4.1158934,308235.78,18.126188,5.51776,63,54,0.40178,3
8,YBR020W,7070000000000000.0,100,4.080819,158452.27,7.412758,6.2951,58,54,0.82925,3
9,YMR106C,6770000000000000.0,110,4.0956726,240890.45,7.8588357,5.14191,95,76,0.62738,-1
10,YGL137W,6500000000000000.0,111,4.097072,239978.52,16.406244,4.62714,138,81,1.60815,4
11,YDL029W,6340000000000000.0,89,4.060816,110832.15,18.720816,5.54315,54,46,1.10578,4
12,YFL039C,6100000000000000.0,126,4.1147065000000005,348054.28,16.04811,5.44318,47,36,1.04008,-1
13,YDR388W,5930000000000000.0,159,4.142554799999999,532382.44,21.226706,5.76642,53,48,1.02959,5
14,YBL099W,5840000000000000.0,109,4.0942864000000005,208868.44,17.493118,9.06122,58,64,0.54575,5
15,YBR196C,5840000000000000.0,120,4.108215,287355.7,6.861822999999999,5.9953,60,50,1.19644,5
16,YDR394W,5710000000000000.0,86,4.054494999999999,119730.99,26.23955,5.38361,64,56,0.37333,6
17,YNL064C,5650000000000000.0,102,4.0839057,181561.58,5.6171794,5.95148,65,60,0.52082,6
18,YLR180W,4830000000000000.0,95,4.072236,154578.52,6.2253823,5.04327,57,42,1.03987,7
19,YDL126C,4810000000000000.0,98,4.077516999999999,221959.14,12.543261,4.823180000000001,142,100,0.47633000000000003,7
20,YMR205C,4740000000000000.0,68,4.0057754999999995,79859.14,12.326407000000001,6.22919,110,102,1.02312,8
21,YFL037W,4710000000000000.0,84,4.049944,125383.09,5.396789,4.6441,65,34,0.96441,8
22,YHR030C,4580000000000000.0,96,4.0739849999999995,170756.58,11.026359,5.16315,66,47,0.82565,9
23,YML085C,4560000000000000.0,79,4.0379505,106347.51,6.3921556,4.9599,65,43,1.03786,9
