protein,degree,betweenness,closeness,eigenvector,clustering,OS,P_Ci,GO_Nb,essential,phys_1,phys_2,phys_3,phys_4,phys_5,phys_6,phys_7,phys_8,phys_9,phys_10,N_c,Sim_Loc,Ortho_Sim_Loc
MEL1,1,0.0,0.19667722550642588,1.339685137423511e-07,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YJL092W,7,0.001242600855886685,0.24666368167844682,8.845618490669234e-06,0.0,5.120361083249749,1.0,0.0,0,0.07496,-0.57666,47.88868,8.86456,163.0,177.0,83170.0,0.0,0.61926,7e-05,0.0,0.0,0.5
SSR1,2,2.548055612788053e-05,0.18064612143576442,2.8697753523113043e-08,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOL132W,2,1.7827488931088657e-05,0.17876339897301285,1.626820790727309e-08,0.0,1.0,0.0,0.0,0,0.11677,-0.37792,37.91106,4.76447,71.0,43.0,56365.0,0.0,1.04744,9e-05,0.0,0.0,0.5
YPL149W,3,0.00021888778955981566,0.22088122740269198,2.088770623448553e-06,0.3333333333333333,1.7476923076923077,0.0,4.3358974358974365,0,0.11224,-0.01973,45.32041,8.64764,28.0,31.0,54805.0,0.0,1.63307,0.00026,0.0,0.0,0.5
YAL001C,5,0.0,0.21482098709919706,1.9530332044059337e-06,1.0,3.0,0.5,6.316666666666666,1,0.07931,-0.51155,31.93959,9.37933,152.0,189.0,135525.0,0.0,1.02588,7e-05,0.6846499175810571,0.2889671908216764,0.5481611984702793
YBR123C,7,0.00011469958993962251,0.23330828068569512,1.0314813361513584e-05,0.5238095238095238,6.561314791403287,1.0,5.623809523809523,1,0.08783,-0.54607,39.94485,5.23065,105.0,86.0,59165.0,0.0,0.80439,7e-05,0.3153500824189429,0.23974612282610783,0.5182696708242246
YDR362C,7,0.00011571872672798201,0.23557752539950425,2.2800969564504287e-05,0.47619047619047616,3.3341772151898734,1.0,9.25,1,0.08631,-0.31592,38.02146,6.15497,87.0,80.0,68645.0,0.0,0.91885,8e-05,0.3153500824189429,0.23974612282610783,0.5359528164450693
YGR047C,10,0.0005413540125150679,0.22549115838536618,6.756804680439119e-06,0.26666666666666666,7.614393125671321,1.0,5.623809523809523,1,0.11024,-0.5759,40.09903,5.13934,181.0,142.0,137615.0,0.0,1.14462,4e-05,0.6846499175810571,0.40640486218295563,0.5266866219983306
YOR110W,18,0.0016319630833026993,0.26373858174437737,9.035705706972953e-05,0.1568627450980392,15.125,1.0,25.47619047619048,1,0.08966,-0.57586,39.77979,4.8277,69.0,46.0,67310.0,0.0,1.36961,0.0001,0.3153500824189429,0.23974612282610783,0.5079254916636731
